"site" "y" "tr" "me" "x1" "x2" "x3" "M1" "M2"
"439" 22 29.64 0 1 -0.84 0.43 0.04 1 0
"440" 22 42.19 1 1 -1.47 2.21 0.63 0 0
"441" 23 2.1 1 0 -0.3 -0.18 -0.66 0 0
"442" 23 14.69 0 1 0.63 -0.74 0.64 0 0
"443" 23 -7.9 1 0 0.07 0.05 0.67 0 0
"444" 23 10.71 0 0 0.29 -1.69 -0.59 1 1
"445" 23 -1.55 0 0 -0.12 1.36 -0.14 1 0
"446" 23 4.62 0 1 0.59 -0.56 -2.07 0 0
"447" 23 6.69 0 0 -0.71 -0.98 -1.04 1 0
"448" 23 35.36 1 1 -1.49 0.85 1.5 1 0
"449" 23 11.96 0 1 -0.42 -0.58 0.35 0 0
"450" 23 3.92 0 1 -0.79 -1.3 0.07 1 0
"451" 23 7.48 0 1 0.97 -1.92 -0.44 0 1
"452" 23 4.39 0 0 0.3 -0.17 0.51 0 0
"453" 23 -16.77 0 0 0.59 -0.47 -2.11 0 0
"454" 23 -6.1 0 0 1.61 0.51 -1.49 1 0
"455" 23 15.04 0 1 0.63 -0.17 1.53 1 0
"456" 23 19.56 0 0 -1.47 0.46 1.67 0 0
"457" 23 -3.11 1 0 0.13 -1.94 -0.45 1 0
"458" 23 21.59 0 1 -0.83 0.23 -0.33 0 0
"459" 23 -8.25 0 0 0.14 -0.57 -0.63 0 0
"460" 23 -1.76 0 0 -0.73 -0.99 1.59 0 0
"461" 24 -12.85 1 0 1.1 -0.15 -0.64 0 0
"462" 24 -9.12 1 0 -0.8 -0.64 0.14 0 0
"463" 24 1.89 0 0 1.71 1.49 0.51 0 0
"464" 24 -6.06 1 0 1.74 1.13 1 0 0
"465" 24 3.86 0 1 0.52 -0.76 -0.26 0 0
"466" 24 -2.54 0 0 -1.44 0.61 0 1 1
"467" 24 2.94 1 1 -0.23 -0.41 0.16 1 0
"468" 24 16.89 1 1 0.54 -1.69 2.34 1 0
"469" 24 -20.35 1 0 -1.44 -1.01 -2.35 0 0
"470" 24 -7.39 1 0 0.04 1.16 0.49 1 1
"471" 24 -18.4 1 0 -1.95 0.35 -1.33 1 0
"472" 24 -17.63 0 0 1.23 -0.45 -2.11 1 0
"473" 24 13.23 1 1 -1.76 0.08 1.28 0 0
"474" 24 1.09 1 0 0.18 0.1 1.72 1 0
"475" 24 0.73 0 0 -1 2.13 0.05 0 0
"476" 24 18.87 0 1 1.39 0.35 1.23 0 0
"477" 24 10.34 0 0 -0.82 -1.43 1.51 0 0
"478" 24 10.23 1 1 -0.97 -0.35 1.47 0 0
"479" 24 -7.81 0 0 1.02 -1.42 -0.66 1 0
"480" 24 -18.06 0 0 1.96 -0.18 -1.55 1 1
"481" 25 6.32 0 0 1.13 -1.93 1.69 0 0
"482" 25 29.53 0 1 1.95 0.53 1.74 0 0
"483" 25 -2.36 1 0 -0.77 -0.02 1.63 0 0
"484" 25 6.71 0 0 0.01 -1.63 -0.01 0 0
"485" 25 -5.32 0 0 0.49 -0.13 -1.6 0 0
"486" 25 14.2 1 1 0.67 -0.95 0.2 0 0
"487" 25 4.84 1 0 -0.63 0.48 0.76 0 0
"488" 25 11.17 0 0 0.89 -0.26 -2.13 0 0
"489" 25 -0.85 0 0 1.82 0.63 1.94 0 0
"490" 25 8.09 0 1 0.07 -2.04 0.35 1 0
"491" 25 12.96 1 0 -0.91 1.26 2.24 0 0
"492" 25 2.49 0 1 0.96 0.71 0.09 0 0
"493" 25 7.74 1 0 -1.83 1.41 1.31 0 1
"494" 25 -0.13 1 1 1.75 0.15 0.92 1 0
"495" 25 -0.06 1 1 0.42 0.05 -0.15 0 0
"496" 25 17.99 0 0 -0.49 -1.42 2.26 0 1
"497" 25 -21.39 0 0 0.68 -0.32 -0.6 0 0
"498" 25 23.64 1 1 0.03 1.97 0.43 0 0
"499" 25 2.08 0 0 0.97 0.21 -0.61 0 0
"500" 25 0.18 0 1 1.13 -1.46 1.76 0 0
